Название,Ссылка,Артикул,Текущая цена,Старая цена,Скидка,Бренд,Производитель,Вкусовая добавка,Рейтинг,Количество оценок,Количество отзывов,Ккал,Белки,Жиры,Углеводы,Тип,Вес (кг),Упаковка,Тип шоколада,Какао (%),Состав,Глазировка,Начинка,Вид конфет,Вид сахарозаменителя,Добавка,Тип глазировки,Объем л,Содержание сахара
Шоколад Red Delight Темный с апельсином и миндалем 70г,https://magnit.ru/product/1000247882-red_shokolad_00_00000502_temnyy_so_snizhennoy_kaloriynostyu_s_apelsinom_i_mindalem_100g_kartonnaya_u?shopCode=992301&shopType=6,1000247882,219.99,,,Red Delight,Инагро,Орехи,4.8,194.0,17.0,305.0,5.0,26.0,34.0,Шоколадная плитка,0.1,картонная упаковка,Темный,40.0,"Какао тертое; мальтит (подсластитель); полидекстроза (наполнитель); масло какао; дробленый миндаль 2%; апельсиновая цедра 1%; эмульгаторы: лецитин соевый, Е476; натуральные ароматизаторы. Содержит подсластитель. Может содержать следы молока, арахиса, фундука, злаков, содержащих глютен, яиц и продуктов их переработки",,,,,,,,
Шар шоколадный с игрушкой-сюрпризом Chupa-Chups 20г в ассортименте,https://magnit.ru/product/1000142161-shar_shokoladnyy_chupa_chups_s_igrushkoy_syurprizom_20g_v_assortimente?shopCode=992301&shopType=6,1000142161,91.99,,,Chupa Chups,Перфетти Ван Мелле,,4.7,2168.0,102.0,535.0,5.8,31.9,57.7,Шоколадное яйцо,0.02,фольга,,,"Молочный шоколад (сахар, масло какао, сухое цельное молоко, какао тертое, сыворотка молочная сухая, растительные жиры, молочный жир, эмульгаторы (соевый лецитин, Е476), ароматизатор)",,,,,,,,
Шоколад Ozera горький без сахара с апельсином 90г,https://magnit.ru/product/8000011998-shokolad_ozera_gorkiy_bez_sakhara_s_apels_90g?shopCode=992301&shopType=6,8000011998,174.99,,,Ozera,КДВ-Групп,,,,,470.0,85.0,38.0,7.0,Шоколадная плитка,0.09,картонная упаковка,Горький,,"Какао тертое, олигофруктоза (пищевые волокна), какао-порошок, масло какао, инулин (пищевые волокна), апельсиновый порошок, эмульгатор лецитины (соевый), экстракт апельсина (апельсиновое масло), подсластитель экстракты стевии возможно наличие незначительного количества орехов, арахиса содержит сахара природного (естественного) происхождения горький шоколад содержит: общий сухой остаток какао - не менее 69,4 %, какао-продуктов - не менее 70 %",,,,,,,,
Шоколад Bubbles Молочный пористый с начинкой со вкусом Капучино Milka 87г,https://magnit.ru/product/1000324322-milka_shokolad_molochnyy_s_nachinkoy_so_vkusom_kapuchino_97g_floupak_ooo_mondelis_rus_15?shopCode=992301&shopType=6,1000324322,99.99,199.99,-50%,Milka,Мондэлис Русь,Прочее,4.9,76.0,4.0,550.0,4.9,32.0,58.0,Шоколадная плитка,0.087,флоупак,Молочный,25.0,"Сахар, масло какао, какао тертое, жир растительный (масло пальмовое), сыворотка сухая молочная, молоко сухое цельное, жир молочный, молоко сухое обезжиренное, эмульгаторы (лецитин соевый, E476), паста ореховая (фундук), ароматизаторы",,,,,,,,
Шоколад Молочный Кофе и Сливки Merci 100г,https://magnit.ru/product/1000212057-merci_shokolad_molochn_kofeyn_100g_k_up_storck_15?shopCode=992301&shopType=6,1000212057,198.99,269.99,-26%,Merci,August Storck,,4.9,57.0,5.0,515.0,6.0,30.0,53.0,Шоколадная плитка,0.1,картонная упаковка,Молочный,33.0,"Сахар, какао-масло, сливки сухие (11,6%), цельное сухое молоко (10,7%), какао тертое, сывороточный продукт подсырный, лактоза, кофе натуральный жареный молотый, сухая пахта, эмульгатор: соевый лецитин, соль поваренная пищевая, экстракт ванили",,,,,,,,
Фигурный шоколад Kinder 35г,https://magnit.ru/product/1000421436-kinder_figurnyy_shokolad_35g_folga?shopCode=992301&shopType=6,1000421436,139.99,159.99,-12%,Kinder,Ferrero,,,,,579.0,8.8,36.2,53.9,Шоколад фигурный,0.035,фольга,,,"Сахар, растительные жиры, сухое обезжиренное молоко, пшеничная мука, обезжиренный какао-порошок, пшеничный крахмал, тертое какао, сухой экстракт ячменного солода, эмульгатор: лецитины, растительное масло, сывороточные белки, масло какао, ароматизаторы, разрыхлители: Е500ii, Е503ii, соль. Содержит игрушку",,,,,,,,
Батончик шоколадный с миндалем Snickers 81г,https://magnit.ru/product/1000385375-snickers_shokoladnyy_batonchik_10228049_s_mindalem_81g_floupak_rossiya_mars_32_160?shopCode=992301&shopType=6,1000385375,89.99,,,Snickers,Марс,,4.7,2750.0,175.0,506.0,8.2,27.2,56.8,Батончик шоколадный,0.081,флоупак,Молочный,,"Молочный шоколад (сахар, какао масло, какао тертое, сухое обезжиренное молоко, продукт сывороточный сухой (пермеат), молочный жир, эмульгатор (соевый лецитин), эквивалент масла какао (масло пальмовое, масло ши)), глюкозный сироп (кукурузный, пшеничный), арахис, сахар, масло пальмовое рафинированное дезодорированное, сухое обезжиренное молоко, соль, сухой яичный белок, глютен. Может содержать незначительное количество фундука, миндаля",Шоколадная глазурь,Орехи,,,,,,
Шоколад с фундуком и изюмом Milka 80г,https://magnit.ru/product/1000149244-shokolad_milka_molochnyy_s_fundukom_i_izyumom_90g?shopCode=992301&shopType=6,1000149244,99.99,199.99,-50%,Milka,Мондэлис Русь,,4.8,1006.0,36.0,495.0,5.6,27.0,57.0,Шоколадная плитка,0.08,флоупак,Молочный,25.0,"Сахар, изюм, какао-масло, какао тертое, молоко сухое цельное, фундук обжаренный дробленый, молоко сухое обезжиренное, сыворотка сухая молочная, жир молочный, паста ореховая (фундук), эмульгаторы (лецитин соевый, Е476), ароматизатор идентичный натуральному. Содержит фундук, молочные продукты, лецитин соевый. Может содержать следы арахиса, других орехов и пшеницы",,,,,,,,
Шоколад темный Апельсин брауни и цельный фундук 55% Бабаевский 165г,https://magnit.ru/product/1000369597-babaevskiy_shokolad_ko22776_temnyy_s_nachinkoy_funduk_tselnyy_vkus_apelsin_165g_floupak_oao_rot_fron?shopCode=992301&shopType=6,1000369597,269.99,449.99,-40%,Бабаевский,Объединенные Кондитеры,Орехи,4.8,1523.0,175.0,550.0,5.0,37.0,46.0,Шоколадная плитка,0.165,флоупак,Темный,55.0,"Темный шоколад (какао тертое, сахар, масло какао, обезвоженный молочный жир (сливки пастеризованные), эмульгаторы: лецитин соевый, e476, спирт этиловый ректификованный, ароматизатор «ваниль»), начинка (сахар, жир растительный (растительные масла, эмульгатор лецитин соевый), ядро ореха фундука целое, какао-порошок, патока, апельсиновые кранчи (концентрированный апельсиновый сок, апельсиновая мякоть), жир специального назначения (растительные масла), печенье брауни (сахар, какао-порошок, глюкозный сироп, пшеничный крахмал, сухие сливки, подсолнечное масло, кокосовое масло, агент влагоудерживающий глицерин, соль), сгущенное с сахаром цельное молоко (цельное молоко, сахар, влагоудерживающие агенты: сорбитоловый сироп, глицерин, эмульгаторы: лецитин соевый, моно- и диглицериды жирных кислот, ароматизаторы: «апельсин красный сицилийский», «брауни», «карамель», соль",,,,,,,,
Шоколад Славянка горький с какао Особый 85% 88г,https://magnit.ru/product/1000426686-osobyy_shok_gorkiy_85_kakao_88g?shopCode=992301&shopType=6,1000426686,219.99,269.99,-18%,Особый,КФ им. Н.К. Крупской,Без добавок,4.8,76.0,6.0,570.0,11.0,47.0,25.0,Шоколадная плитка,0.088,бумажная упаковка,Горький,85.0,"Какао-тертое, сахар, масло какао, эмульгаторы (лецитин соевый, эфиры полиглицерина и взаимоэтерифицированных рициноловых кислот), ароматизатор",,,,,,,,
Шоколад молочный взрывная карамель Алёнка 75г,https://magnit.ru/product/8000009407-alenka_shokolad_molochnyy_vzryvnaya_karamel_75g?shopCode=992301&shopType=6,8000009407,109.99,149.99,-26%,Алёнка,Объединенные Кондитеры,Карамель,4.8,563.0,36.0,540.0,65.0,32.0,56.0,Шоколадная плитка,0.075,бумажная упаковка,Молочный,,"Сахар, сухое цельное молоко, масло какао, какао тертое, манго сушеное резаное (манго, сахар, мука рисовая, консервант - диоксид серы), полуфабрикат взрывная карамель (сахар, глюкозный сироп, лактоза, регулятор кислотности диоксид углерода, эмульгаторы: лецитин соевый и Е476, ароматизаторы: манго, ванильный, ваниль",,,,,,,,
Шоколад Победа вкуса молочный без сахара 36% 50г,https://magnit.ru/product/8000012278-pobeda_vkusa_shokolad_gorkiy_bez_sakhara_72_50g?shopCode=992301&shopType=6,8000012278,114.99,,,Победа Вкуса,,Без добавок,,,,470.0,11.0,31.0,36.0,Шоколадная плитка,,флоупак,Молочный,,"Масло какао, тертое какао, сухое обезжиренное молоко, сыворотка молочная сухая, подсластитель (мальтит), пребиотик (инулин) (10 %), сухое цельное молоко, эмульгатор (лецитин соевый), подсластитель - стевиолгликозиды (0,08 %), натуральная ваниль содержит подсластитель при чрезмерном употреблении может оказывать слабительное действие содержит сахара природного (естественного) происхождения",,,,,,,0,
Шоколад Ozera горький без сахара с фундуком 90г,https://magnit.ru/product/8000012000-ozera_shokolad_gorkiy_bez_sakhara_s_fundukom_90g?shopCode=992301&shopType=6,8000012000,174.99,,,Ozera,КДВ-Групп,,,,,510.0,10.0,41.0,8.0,Шоколадная плитка,0.09,картонная упаковка,Горький,,"Какао тертое, какао-порошок, олигофруктоза (пищевые волокна), масло какао, инулин (пищевые волокна), ядра орехов фундука жареные дробленые, ядра кешью тертые, эмульгатор лецитины (соевый), подсластитель экстракты стевии возможно наличие незначительного количества других орехов, арахиса содержит сахара природного (естественного) происхождения содержание общего сухого остатка какао в горьком шоколаде - не менее70 %",,,,,,,,
Шоколад молочный с кусочками клюквы и орехом лещины Ritter Sport 100г,https://magnit.ru/product/1000511471-ritter_sport_shokolad_mol_klyukva_orekh_leshchiny_100g?shopCode=992301&shopType=6,1000511471,159.99,269.99,-40%,Ritter Sport,Ritter Schonbuch Vermogensverwaltungs,Орехи,4.8,54.0,3.0,518.0,6.0,28.0,59.0,Шоколадная плитка,0.1,флоупак,Молочный,30.0,"Сахар, кусочки клюквы (клюква, сахар, рисовая мука, масло подсолнечное), масло какао, какао тертое, сухое цельное молоко, лактоза, орех лещины дробленый, сухое обезжиренное молоко, молочный жир, эмульгатор (соевый лецитин). Возможно наличие следов арахиса, других орехов, содержащих глютен злаков и яиц. Содержание в шоколадной массе: общего сухого остатка какао - не менее 30%, сухого обезжиренного остатка какао - не менее 5%, сухого обезжиренного остатка молока - не менее 18%, молочного жир - не менее 5%, содержание какао-продуктов в шоколадной массе - не менее 30%",,,,,,,,
