Название,Ссылка,Артикул,Текущая цена,Старая цена,Скидка,Бренд,Производитель,Вкусовая добавка,Рейтинг,Количество оценок,Количество отзывов,Ккал,Белки,Жиры,Углеводы,Тип,Вес (кг),Упаковка,Тип шоколада,Какао (%),Состав,Глазировка,Начинка,Вид конфет,Вид сахарозаменителя,Добавка,Тип глазировки,Объем л,Содержание сахара
Шоколад темный с имбирным печеньем Бабаевский 90г,https://magnit.ru/product/1000560155-babaevskiy_shokolad_temnyy_s_imbirnym_pechenem_90g?shopCode=992301&shopType=6,1000560155,149.99,309.99,-51%,Бабаевский,Объединенные Кондитеры,Печенье,4.7,27.0,2.0,510.0,7.5,28.0,55.0,Шоколадная плитка,0.09,бумажная упаковка,Темный,40.0,"Сахар, какао тертое, сухое цельное молоко, масло какао, кусочки имбирного печенья (мука пшеничная, сахар, масло растительное, имбирь порошок, сухое цельное молоко, сироп глюкозно-фруктозный, корица молотая, соль морская, разрыхлители: E500, E527, антиокислитель E306, эмульгатор лецитин соевый), апельсиновые кусочки (концентрированное яблочное пюре, концентрированный сок апельсина, груши, цитрусовые волокна, агент желирующий пектин, регулятор кислотности лимонная кислота, растительное масло, натуральный апельсиновый ароматизатор), эмульгаторы: лецитин соевый, E476, корица молотая, ароматизатор «корица»",,,,,,,,
Шоколад темный Апельсины в ликёре Dy Nastie 45% 100г,https://magnit.ru/product/1000499885-dy_nastie_shokolad_temnyy_apelsiny_v_likyere_100g_k_up?shopCode=992301&shopType=6,1000499885,109.99,,,Dy Nastie,КФ Фрязинская,,4.6,61.0,11.0,520.0,4.5,29.0,60.0,Шоколадная плитка,0.1,картонная упаковка,Темный,45.0,"Тёмный шоколад (какао тёртое, сахар, масло какао, эмульгатор - лецитин соевый, ароматизатор «ванилин», эмульгатор Е476), начинка ликёрная (патока, сахар коньяк, регулятор кислотности - кислота лимонная, волокна цитрусовые, консервант - сорбат калия, ароматизатор, «апельсин»), цукаты цедры апельсинов (цедра апельсинов, сахар) в шоколаде содержится (средние расчетные значения): - массовая доля общего сухого остатка какао не менее 52,6%, - массовая доля насыщенных жирных кислот 20,6%, - массовая доля трансизомеров ненасыщенных жирных кислот 0, 0%",,,,,,,,
Шоколад Bitter Горький 70% Alpen Gold 75г,https://magnit.ru/product/1000212188-shokolad_alpen_gold_bitter_gorkiy_70_80g?shopCode=992301&shopType=6,1000212188,179.99,,,Alpen Gold,Мондэлис Русь,Без добавок,4.7,2035.0,126.0,530.0,9.4,38.0,30.0,Шоколадная плитка,0.075,флоупак,Горький,70.0,"Какао тертое, какао-порошок, сахар, масло какао, ароматизатор, жир молочный, может содержать следы орехов, пшеницы и соевого лецитина",,,,,,,,
Шоколад Молочный Алёнка 15г,https://magnit.ru/product/1000140974-shokolad_alenka_molochnyy_15g?shopCode=992301&shopType=6,1000140974,26.99,41.99,-35%,Алёнка,Объединенные Кондитеры,Без добавок,4.8,368.0,19.0,550.0,7.0,7.0,53.0,Шоколадная плитка,0.015,бумажная упаковка,Молочный,25.0,"Сахар, сухое цельное молоко, масло какао, какао тертое, эмульгаторы: лецитин соевый, E476, ароматизаторы. противопоказано при индивидуальной непереносимости белка молока. Массовые доли: общего сухого остатка какао – не менее 32,0%, сухого обезжиренного остатка какао – не менее 5,9%, сухого обезжиренного остатка молока – не менее 15,2%, молочного жира – не менее 5,4%. Возможно наличие незначительных количеств миндаля, фундука",,,,,,,,
Шоколад белый Schogetten Blonde Almond 100г,https://magnit.ru/product/1000562521-schogetten_shokolad_belyy_blonde_almond_100g_k_up?shopCode=992301&shopType=6,1000562521,149.99,169.99,-11%,Schogetten,Ludwig Schokolade,,,,,553.0,6.2,34.0,55.0,Шоколадная плитка,0.1,картонная упаковка,Белый,,"Сахар, какао-масло, сухое цельное молоко, миндаль, сухие сливки, сухая сладкая сыворотка (молоко), лактоза, какао -масса, сливочный жир, 1% карамель, эмульгатор (лецитины (соевые)), ароматизаторы",,,,,,,,
Шоколадный батончик Picnic 38г,https://magnit.ru/product/1000136577-shokoladnyy_batonchik_picnic_38g?shopCode=992301&shopType=6,1000136577,43.99,52.99,-16%,Picnic,Мондэлис Русь,,4.9,170.0,4.0,504.0,7.1,55.0,25.5,Батончик шоколадный,0.038,флоупак,Молочный,,"Шоколад молочный (сахар, масло какао, какао тертое, сыворотка сухая молочная, молоко сухое цельное, жир молочный, эмульгаторы (лецитин соевый, Е476), ароматизатор), сахар, арахис обжаренный дробленый, изюм, масло растительное, мука пшеничная, патока карамельная (кукурузная), воздушный рис (мука рисовая, сахар, ячменно-солодовый экстракт, масло растительное, соль), сыворотка сухая молочная, какао-порошок, соль, загуститель (Е422), эмульгаторы (Е471, лецитин соевый), ароматизаторы",Молочный шоколад,Вафли,,,,,,
Шоколадный батончик фундук мороженое печенье Nuts Duo 60г,https://magnit.ru/product/1000508486-nuts_duo_shokoladnyy_batonchik_fund_morozh_pechene_60g?shopCode=992301&shopType=6,1000508486,107.99,,,Nuts,Нестле,,4.7,1667.0,109.0,491.0,47.0,23.0,65.0,Батончик шоколадный,0.06,флоупак,Молочный,,"Сахар, патока, жир специального назначения (из пальмового масла), фундук целый, молоко сухое обезжиренное, какао тертое, масло какао, сыворотка молочная сухая, мука пшеничная (содержит глютен), молочный жир, молоко сухое цельное, эквивалент масла какао (масло пальмовое, масло ши), жир специального назначения (из подсолнечного масла), эмульгаторы (лецитины, E476), ароматизаторы натуральные, белок яичный сухой, какао-порошок, разрыхлители (E500ii, E503ii), регулятор кислотности (лимонная кислота), соль",Молочный шоколад,,,,,,,
Шоколад молочный Nuts соленая карамель-фундук Россия щедрая душа 200г,https://magnit.ru/product/1000512948-rossiya_shchedr_dusha_nuts_shokolad_mol_solen_karam_funduk_200g?shopCode=992301&shopType=6,1000512948,179.99,329.99,-45%,Россия Щедрая Душа,Нестле,,4.6,800.0,71.0,537.0,5.6,31.0,58.0,Шоколадная плитка,0.2,флоупак,Молочный,25.0,"Сахар, молоко сухое цельное, жир специального назначения (из пальмового масла), патока, масло какао, фундук дробленый, какао тертое, сыворотка молочная сухая, молочный жир, вода, эмульгаторы (лецитины, Е476), соль, ароматизаторы натуральные. В молочной шоколадной массе: сухой общий остаток какао – не менее 25%, сухой обезжиренный остаток какао – не менее 2.5%, сухой молочный остаток – не менее 12%, молочный жир – не менее 2.5%",,,,,,,,
Шоколад Aerated темный пористый Alpen Gold 80/75г,https://magnit.ru/product/1000367308-alpen_gold_shokolad_4254794_temnyy_poristyy_80g_floupak_ooo_mondelis_rus_13?shopCode=992301&shopType=6,1000367308,89.99,129.99,-30%,Alpen Gold,Мондэлис Русь,Без добавок,4.7,1098.0,80.0,516.0,4.7,28.0,58.0,Шоколадная плитка,0.08,флоупак,Темный,40.0,"Сахар, какао тертое, масло какао, жир молочный, эмульгаторы (лецитин соевый, Е476), ароматизатор",,,,,,,,
Шоколад Merci темный с марципаном 112г,https://magnit.ru/product/8000011378-merci_shokolad_temnyy_s_martsipanom_112g?shopCode=992301&shopType=6,8000011378,214.99,259.99,-17%,Merci,August Storck,Прочее,,,,506.0,69.0,281.0,532.0,Шоколадная плитка,0.112,картонная упаковка,Темный,,"Сахар, какао тертое, измельченный темный шоколад содержит: общий сухой остаток какао - не менее 50миндаль, масло какао, молочный жир, фруктоза, глюкозный сироп, инвертный сироп, декстроза, эмульгатор соевый лецитин, ароматизатор натуральный ""роза"", экстракт ванили",,,,,,,,
