name,price,rus_brand,premium,rating,no_sugar,kcal,package,type,cocoa,filling_NUTS,filling_BERRIES,filling_SNACKS,filling_DESSERT,filling_EXOTIC,emulsifiers
Шоколад Горький Апельсин и миндаль Merci 72% 100г,189.99,0,0,4.9,0,564.0,картонная упаковка,Горький,72.0,1,0,0,0,1,0
Шоколад Славянка молочный с фундуком Особый 89г,145.99,1,0,4.7,0,537.0,картонная упаковка,Молочный,25.0,1,0,0,0,0,0
Шоколад молочный ореховая паста карамель в шоколаде Алёнка 85г,119.99,1,0,4.8,0,550.0,флоупак,Молочный,25.0,1,0,0,1,0,1
Шоколад Молочный Клубника с йогуртом Ritter Sport 100г,159.99,0,0,4.8,0,566.0,флоупак,Молочный,30.0,0,0,0,1,0,0
Шоколад молочный с фундуком Bucheron Original 90г,194.99,0,1,4.8,0,540.0,картонная упаковка,Молочный,30.0,1,0,0,0,0,0
Шоколад с молочной начинкой Kinder Chocolate Maxi 4шт*21г,179.99,0,0,4.9,0,561.0,флоупак,Молочный,13.0,0,0,0,1,0,0
Шоколад молочный Bucheron Blanc Edition 85г,169.99,0,1,4.7,0,525.0,картонная упаковка,Молочный,35.0,0,0,0,0,0,1
Шоколад горький клюква-клубника-фисташка Bucheron Village 100г,235.99,0,1,4.9,0,500.0,картонная упаковка,Горький,72.0,1,1,0,0,0,0
Шоколад Молочный Цельный миндаль Ritter Sport 100г,186.99,0,0,4.9,0,560.0,флоупак,Молочный,30.0,1,0,0,0,0,0
Шоколад белый Schogetten Blonde Caramel 100г,149.99,0,0,4.8,0,542.0,картонная упаковка,Белый,0.0,0,0,0,1,0,0
Шоколад Темный Цельный лесной орех Ritter Sport 50% 100г,186.99,0,0,4.8,0,577.0,флоупак,Темный,50.0,1,0,0,0,0,0
Шоколад Альпийский молочный с фундуком Schogetten 100г,149.99,0,0,4.8,0,574.0,картонная упаковка,Молочный,30.0,1,0,0,0,0,0
Шоколад Белый Цельный лесной орех и хлопья Ritter Sport 100г,189.99,0,0,4.9,0,570.0,флоупак,Белый,20.0,1,0,1,0,0,0
Шоколад молочный с кусочками малины Bucheron Village 100г,239.99,0,1,4.9,0,540.0,картонная упаковка,Молочный,33.0,0,1,0,0,0,0
Шоколад начинка кусочки соленого кешью Ritter Sport 100г,186.99,0,0,4.8,0,539.0,флоупак,Молочный,50.0,1,0,0,0,0,0
Шоколад молочный с фундуком Аленка 75г,119.99,1,0,4.8,0,550.0,бумажная упаковка,Молочный,30.0,1,0,0,0,0,1
